unemployment,violent_total
9.4,334.4
8.475,337.8
7.625,330.1
6.367,356.9
5.967,390.4
7.283,438
6.883,535.5
6.233,462.7
5.392,444
5.417,364.7
5.467,320.5
5.342,316.9
4.608,328
4.5,308.3
4.175,294.5
5.167,258.3
5.692,271.4
6.125,248.5
5.4,245.1
5.883,267
5.7,270.1
5.4,290.7
6.408,297.2
10.35,255
10.208,243.9
9.4,239.6
8.158,224.9
8.008,210.9
6.458,211.6
6.692,472.8
7.075,524.8
6.8,584.9
6.567,676.3
6.85,665
8.392,638.3
10.283,669.1
11.542,640.9
10.067,678
11.558,694.2
12.758,758.2
12.133,693
10.842,717.4
7.967,781.8
6.192,898.4
7.275,951
8.033,984.6
7.625,1061.7
7.85,981.9
6.992,1007.4
6.608,929.1
6.017,855.9
5.683,779.5
5.067,732.7
5.3,681.1
5.742,686.3
6.158,663.3
6.417,636.9
5.925,640
7.125,597
4.467,721.2
4.258,740.4
4.9,671.4
6.817,642.9
7.95,555.3
7.808,554.6
7.075,496.3
6.717,521.2
6.367,514.7
8.7,220
8.258,224.7
6.433,207.7
6.808,202.5
7.608,193.4
7.375,195.6
8.383,163
8.325,159.6
6.242,158.5
5.517,167.5
5.292,147
4.392,152.1
3.642,157.4
4.017,137.2
5.3,143.2
7.533,132.1
7.325,130.9
7.25,125.7
7.008,129.9
5.983,131.4
5.217,124.9
5.058,120.8
4.508,125.9
3.958,112
3.367,109.6
3.833,111.7
4.35,107.8
4.975,108.6
4.658,103.7
4.883,112
4.583,116
4.667,118.8
5.5,119.4
8.092,119.9
8.15,122.1
7.917,123.3
7.475,122.4
6.667,132.5
5.625,127.8
6.633,633.4
6.317,693.8
5.508,732
5.792,795.5
6.567,852.4
7.267,887.1
8.283,850
7.025,807.1
5.358,792.3
4.6,834.6
4.558,833
4.358,767.8
4.25,806.8
3.808,855.4
4.467,919
6.108,956.2
6.8,1000.1
6.175,997.8
5.283,948
5.033,986.9
5.05,931.2
4.958,846.6
4.408,796.6
3.575,743.4
3.583,786.6
4.025,781.4
4.442,770.8
4.433,703.5
4.258,700.6
4.133,704
3.858,678.6
3.442,641.9
4.208,628.2
7,590
7.642,546.3
7.25,493.5
6.958,477.3
6.575,475.4
5.8,446.1
9.617,399.2
7.792,425.3
6.225,462
5.508,531.3
5.633,601.3
6.467,628.6
7.717,571.4
6.758,576.8
4.758,523.7
3.975,538.2
3.892,556.9
3.242,564.6
3.267,619.6
4.142,675
6.283,736.3
8.625,736.1
8.458,779
6.983,804.9
6.058,707.6
5.3,687.2
4.442,642.2
3.925,644.2
3.3,621.3
3.183,551
2.692,476.1
3.725,477.8
5.267,484.9
5.708,473.1
5.15,460.2
4.867,461
4.9,500.5
4.608,441.7
5.533,463.8
8.092,462.6
8.3,468.9
7.258,427.3
6.683,407
